album_name,album_release_date,artists_name,artists_id,duration_ms,explicit,name,popularity,external_urls
Boss Bitch,2020-01-23,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,134239,False,Boss Bitch,83,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
Enoc,2020-09-04,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,214506,True,Del Mar,83,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
Enoc,2020-09-04,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,214506,True,Del Mar,83,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
Enoc,2020-09-04,Sia,5WUlDfRSoLAfcVSX1WnrxN,214506,True,Del Mar,83,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
Positions,2020-10-30,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,167989,True,motive (with Doja Cat),81,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
Positions,2020-10-30,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,167989,True,motive (with Doja Cat),81,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
Hot Pink,2019-11-07,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,163173,True,Like That (feat. Gucci Mane),80,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
Hot Pink,2019-11-07,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,163173,True,Like That (feat. Gucci Mane),80,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
Hot Pink,2019-11-07,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,187040,True,Rules,78,https://open.spotify.com/track/1TMWcbxL5YF8rKsFHv5hAP
"Baby, I'm Jealous (feat. Doja Cat)",2020-10-09,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,175873,False,"Baby, I'm Jealous (feat. Doja Cat)",76,https://open.spotify.com/track/2fTdRdN73RgIgcUZN33dvt
"Baby, I'm Jealous (feat. Doja Cat)",2020-10-09,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,175873,False,"Baby, I'm Jealous (feat. Doja Cat)",76,https://open.spotify.com/track/2fTdRdN73RgIgcUZN33dvt
Freak,2020-08-07,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,284480,True,Freak,76,https://open.spotify.com/track/3aA6xB0tOilDDX17fIJ0Bl
Golden Hour,2020-05-29,Kygo,23fqKkggKUBHNkbKtXEls4,228267,False,Higher Love,69,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
Golden Hour,2020-05-29,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,228267,False,Higher Love,69,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
Golden Hour,2020-05-29,Kygo,23fqKkggKUBHNkbKtXEls4,199549,False,Lose Somebody,75,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
Golden Hour,2020-05-29,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,199549,False,Lose Somebody,75,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
Cloud Nine,2016-05-13,Kygo,23fqKkggKUBHNkbKtXEls4,271640,False,Firestone,77,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE
Cloud Nine,2016-05-13,Conrad Sewell,1rw8ZTLnDHd74TWDDukjVi,271640,False,Firestone,77,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE
What's Love Got to Do with It,2020-07-17,Kygo,23fqKkggKUBHNkbKtXEls4,208156,False,What's Love Got to Do with It,77,https://open.spotify.com/track/3Be7CLdHZpyzsVijme39cW
What's Love Got to Do with It,2020-07-17,Tina Turner,1zuJe6b1roixEKMOtyrEak,208156,False,What's Love Got to Do with It,77,https://open.spotify.com/track/3Be7CLdHZpyzsVijme39cW
It Ain't Me,2017-02-17,Kygo,23fqKkggKUBHNkbKtXEls4,220780,False,It Ain’t Me (with Selena Gomez),66,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs
It Ain't Me,2017-02-17,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,220780,False,It Ain’t Me (with Selena Gomez),66,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs
Golden Hour,2020-05-29,Kygo,23fqKkggKUBHNkbKtXEls4,198635,False,Freedom,66,https://open.spotify.com/track/2nx0EIlIKMnMgWnj40O0HQ
Golden Hour,2020-05-29,Zak Abel,6Gk5hoM7eW8NSCYhICMDHw,198635,False,Freedom,66,https://open.spotify.com/track/2nx0EIlIKMnMgWnj40O0HQ
Cloud Nine,2016-05-13,Kygo,23fqKkggKUBHNkbKtXEls4,223186,False,Stole the Show,74,https://open.spotify.com/track/5masKPHeAOVNgxdLebIcK7
Cloud Nine,2016-05-13,Parson James,48sLioddyaXkuhyHXSkpsB,223186,False,Stole the Show,74,https://open.spotify.com/track/5masKPHeAOVNgxdLebIcK7
Happy Now,2018-10-26,Kygo,23fqKkggKUBHNkbKtXEls4,211362,False,Happy Now,74,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
Happy Now,2018-10-26,Sandro Cavazza,5JYo7gm2dkyLLlWHjxS7Dy,211362,False,Happy Now,74,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
Hot Stuff,2020-09-18,Kygo,23fqKkggKUBHNkbKtXEls4,199007,False,Hot Stuff,74,https://open.spotify.com/track/00ETaeHUQ6lops3oWU1Wrt
Hot Stuff,2020-09-18,Donna Summer,2eogQKWWoohI3BSnoG7E2U,199007,False,Hot Stuff,74,https://open.spotify.com/track/00ETaeHUQ6lops3oWU1Wrt
Golden Hour,2020-05-29,Kygo,23fqKkggKUBHNkbKtXEls4,215360,False,I'll Wait,64,https://open.spotify.com/track/1tuXOJYN6CkgubpifHEm96
Golden Hour,2020-05-29,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,215360,False,I'll Wait,64,https://open.spotify.com/track/1tuXOJYN6CkgubpifHEm96
