album_name,album_release_date,artists_name,artists_id,duration_ms,explicit,name,popularity,external_urls,test,year
Afrodisíaco,2020-11-13,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,231594,True,Reloj,81,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,yes,2020
Afrodisíaco,2020-11-13,Anuel AA,2R21vXR83lH98kGeO99Y66,231594,True,Reloj,81,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,yes,2020
"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",2021-03-05,Maluma,1r4hJ1h58CWwUQe3MxPuau,241659,False,Aloha,83,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU,yes,2021
"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",2021-03-05,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,241659,False,Aloha,83,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU,yes,2021
"La Curiosidad (Blue Grand Prix Remix) [feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi]",2020-12-17,Myke Towers,7iK8PXO48WeuP03g8YR51W,382555,True,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",82,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD,yes,2020
"La Curiosidad (Blue Grand Prix Remix) [feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi]",2020-12-17,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,382555,True,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",82,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD,yes,2020
Me Fije,2021-03-18,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,202306,True,Me Fije,82,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw,yes,2021
Afrodisíaco,2020-11-13,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,222680,False,Tattoo - Remix with Camilo,74,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE,yes,2020
Afrodisíaco,2020-11-13,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,190100,True,De Cora <3,81,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2,yes,2020
Afrodisíaco,2020-11-13,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,190100,True,De Cora <3,81,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2,yes,2020
En Tu Cuerpo (Remix),2020-09-04,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,310860,True,En Tu Cuerpo - Remix,80,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z,yes,2020
Afrodisíaco,2020-11-13,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,261603,False,Algo Mágico,72,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG,yes,2020
Please Excuse Me For Being Antisocial,2019-12-06,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,196652,True,The Box,87,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,yes,2019
Perfect Ten,2019-06-28,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,180434,True,Ballin' (with Roddy Ricch),82,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,yes,2019
Please Excuse Me For Being Antisocial,2019-12-06,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,220486,True,High Fashion (feat. Mustard),79,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,yes,2019
4 Da Gang (with Roddy Ricch),2021-04-02,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,155720,True,4 Da Gang (with Roddy Ricch),78,https://open.spotify.com/track/4KIkADzoVm3A10E9qyjsQ5,yes,2021
Top Shotta,2020-08-10,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,173288,True,Walk Em Down (feat. Roddy Ricch),73,https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf,yes,2020
Feed Tha Streets II,2018-11-02,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,224002,True,Down Below,76,https://open.spotify.com/track/4SWWe2OYC4mqf40Gc2RSdl,yes,2018
Please Excuse Me For Being Antisocial,2019-12-06,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,172320,True,Bacc Seat (feat. Ty Dolla $ign),72,https://open.spotify.com/track/6In6SkveIw26thdYRhHTVX,yes,2019
B4 The Storm (Complete Edition),2020-10-23,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,181495,True,Lemonade - Remix,66,https://open.spotify.com/track/57FNYz14MjKVoRTbxtv4A1,yes,2020
Project Dreams,2019-01-25,Marshmello,64KEffDW9EtZ1y2vBYgq8T,167898,True,Project Dreams,71,https://open.spotify.com/track/6GSkLS2y4ZnnZsuRAj975K,yes,2019
Project Dreams,2019-01-25,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,167898,True,Project Dreams,71,https://open.spotify.com/track/6GSkLS2y4ZnnZsuRAj975K,yes,2019
Please Excuse Me For Being Antisocial,2019-12-06,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,158691,True,Start Wit Me (feat. Gunna),71,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu,yes,2019
Graduation,2007-09-11,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,311866,True,Stronger,81,https://open.spotify.com/track/4fzsfWzRhPawzqhX8Qt9F3,yes,2007
Watch The Throne (Deluxe),2011-08-08,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,219333,True,Ni**as In Paris,81,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007,yes,2011
FourFiveSeconds,2015-01-24,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,188238,False,FourFiveSeconds,79,https://open.spotify.com/track/78TTtXnFQPzwqlbtbwqN0y,yes,2015
FourFiveSeconds,2015-01-24,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,188238,False,FourFiveSeconds,79,https://open.spotify.com/track/78TTtXnFQPzwqlbtbwqN0y,yes,2015
Yeezus,2013-06-18,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,229146,True,Bound 2,79,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i,yes,2013
808s & Heartbreak,2008-11-24,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,211000,False,Heartless,79,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,yes,2008
My Beautiful Dark Twisted Fantasy,2010-11-22,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,292093,True,POWER,78,https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc,yes,2010
Late Registration,2005-08-30,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,207626,True,Gold Digger,78,https://open.spotify.com/track/1PS1QMdUqOal0ai3Gt7sDQ,yes,2005
The Life Of Pablo,2016-06-10,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,135920,True,Father Stretch My Hands Pt. 1,78,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8,yes,2016
ye,2018-06-01,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,271386,True,Ghost Town,77,https://open.spotify.com/track/7vgTNTaEz3CsBZ1N4YQalM,yes,2018
Graduation,2007-09-11,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,237506,True,Flashing Lights,77,https://open.spotify.com/track/31I3Rt1bPa2LrE74DdNizO,yes,2007
PAPI JUANCHO,2020-08-21,Maluma,1r4hJ1h58CWwUQe3MxPuau,248345,False,Parce (feat. Justin Quiles),84,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ,yes,2020
PAPI JUANCHO,2020-08-21,Maluma,1r4hJ1h58CWwUQe3MxPuau,199112,False,Hawái,83,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,yes,2020
"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",2021-03-05,Maluma,1r4hJ1h58CWwUQe3MxPuau,241659,False,Aloha,83,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU,yes,2021
"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",2021-03-05,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,241659,False,Aloha,83,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU,yes,2021
El Amor En Los Tiempos Del Perreo,2021-03-18,Maluma,1r4hJ1h58CWwUQe3MxPuau,236731,True,Más De La Una,69,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h,yes,2021
#7DJ (7 Días En Jamaica),2021-01-28,Maluma,1r4hJ1h58CWwUQe3MxPuau,176970,False,Agua de Jamaica,83,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr,yes,2021
Hawái (Remix),2020-11-05,Maluma,1r4hJ1h58CWwUQe3MxPuau,200481,False,Hawái - Remix,82,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F,yes,2020
Hawái (Remix),2020-11-05,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,200481,False,Hawái - Remix,82,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F,yes,2020
11:11,2019-05-17,Maluma,1r4hJ1h58CWwUQe3MxPuau,175733,False,11 PM,78,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,yes,2019
PAPI JUANCHO,2020-08-21,Maluma,1r4hJ1h58CWwUQe3MxPuau,198569,True,Madrid (feat. Myke Towers),77,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H,yes,2020
PAPI JUANCHO,2020-08-21,Myke Towers,7iK8PXO48WeuP03g8YR51W,198569,True,Madrid (feat. Myke Towers),77,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H,yes,2020
Mi Niña (Remix),2021-03-02,Myke Towers,7iK8PXO48WeuP03g8YR51W,255800,False,Mi Niña - Remix,75,https://open.spotify.com/track/43PXER25C9JkExLBd5dObG,yes,2021
Mi Niña (Remix),2021-03-02,Maluma,1r4hJ1h58CWwUQe3MxPuau,255800,False,Mi Niña - Remix,75,https://open.spotify.com/track/43PXER25C9JkExLBd5dObG,yes,2021
Dopamina,2021-04-09,Maluma,1r4hJ1h58CWwUQe3MxPuau,199881,False,Amor en Coma,65,https://open.spotify.com/track/0kRU83ecI57Iw1kPTeUwK5,yes,2021
Beautiful Mistakes (feat. Megan Thee Stallion),2021-03-03,Maroon 5,04gDigrS5kc9YWfZHwBETP,227395,False,Beautiful Mistakes (feat. Megan Thee Stallion),90,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU,yes,2021
